--- BÁO CÁO CÁC NÚT ĐANG HOẠT ĐỘNG (ACTIVE) ---
Tổng cộng: 210 nút.
--------------------------------------------------
ID: 8664   | Labels: Phòng họp Khoa KHVL (Tòa F)
ID: 8684   | Labels: Phòng 203 (Tòa F - Cửa 1)
ID: 8685   | Labels: Cầu thang y tế (Tòa E) - Lầu3
ID: 8703   | Labels: Phòng F200
ID: 8715   | Labels: Phòng Hội đồng (Tòa F - IDK)
ID: 8757   | Labels: Phòng bộ môn vật lý lý thuyết số
ID: 8804   | Labels: Phòng F210
ID: 8812   | Labels: Đầu cầu thang bên trái tòa B tầng trệt
ID: 8828   | Labels: Văn phòng Hội đồng trường (Tòa F)
ID: 8857   | Labels: Phòng 203 (Tòa F - Cửa 2)
ID: 8896   | Labels: Cửa không tên (Lầu2)
ID: 8951   | Labels: Giao điểm Tòa B (tại Tòa F)
ID: 8953   | Labels: Cây ATM Agribank
ID: 8976   | Labels: Phòng 07 (Tòa F)
ID: 9049   | Labels: Văn phòng Khoa SH-CNSH (Tòa F)
ID: 9119   | Labels: Nhà vệ sinh nam cạnh cầu thang (Lầu4)
ID: 9150   | Labels: Phòng họp F102 (Cửa 1)
ID: 9179   | Labels: Phòng họp F102 (Cửa 2)
ID: 9218   | Labels: Phòng 206 (Tòa F)
ID: 9228   | Labels: Phòng bộ môn sinh hóa
ID: 9232   | Labels: Phòng F205b
ID: 9248   | Labels: Văn phòng Đoàn (Tòa F)
ID: 9331   | Labels: Phòng 04 (Tòa F)
ID: 9391   | Labels: Phòng 202 (Tòa F - Cửa 1)
ID: 9483   | Labels: Phòng máy tính khoa vật lý B.36
ID: 9562   | Labels: Đầu cầu thang bên phải tòa B tầng 1
ID: 9567   | Labels: Bộ môn Điện tử (Lầu1)
ID: 9587   | Labels: Cuối cầu thang bên trái tòa B tầng 3
ID: 9600   | Labels: Cuối cầu thang bên trái tòa B tầng 1
ID: 9601   | Labels: E305
ID: 9660   | Labels: Nhà vệ sinh nữ cạnh cầu thang (Lầu3)
ID: 9771   | Labels: Phòng đào tạo sau đại học
ID: 9874   | Labels: Phòng F301
ID: 9931   | Labels: Văn phòng Đảng ủy (Tòa F)
